OCUPAÇÃO,REF-ALT,CNAE,DESCRIÇÃO SUBCLASSE CNAE,ISS,ICMS
ARTESÃO(Ã) EM GESSO,,2330-3/99,"FABRICAÇÃO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES",N,S
"ARTESÃO(Ã) EM LOUÇAS, VIDRO E CRISTAL",,01/01/2399,"DECORAÇÃO, LAPIDAÇÃO, GRAVAÇÃO, VITRIFICAÇÃO E OUTROS TRABALHOS EM CERÂMICA, LOUÇA, VIDRO E CRISTAL",S,N
ARTESÃO(Ã) EM MADEIRA,,01/03/1629,"FABRICAÇÃO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MÓVEIS",N,S
"ARTESÃO(Ã) EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS",,03/05/2391,"APARELHAMENTO DE PLACAS E EXECUÇÃO DE TRABALHOS EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS",S,S
ARTESÃO(Ã) EM METAIS,,2599-3/99,FABRICAÇÃO DE OUTROS PRODUTOS DE METAL NÃO ESPECIFICADOS ANTERIORMENTE,N,S
ARTESÃO(Ã) EM METAIS PRECIOSOS,,02/06/3211,FABRICAÇÃO DE ARTEFATOS DE JOALHERIA E OURIVESARIA,N,S
ARTESÃO(Ã) EM OUTROS MATERIAIS,,3299-0/99,FABRICAÇÃO DE PRODUTOS DIVERSOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
ARTESÃO(Ã) EM PAPEL,,1749-4/00,"FABRICAÇÃO DE PRODUTOS DE PASTAS CELULÓSICAS, PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO NÃO ESPECIFICADOS ANTERIORMENTE",N,S
ARTESÃO(Ã) EM PLÁSTICO,,2229-3/99,FABRICAÇÃO DE ARTEFATOS DE MATERIAL PLÁSTICO PARA OUTROS USOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
ARTESÃO(Ã) EM VIDRO,,2319-2/00,FABRICAÇÃO DE ARTIGOS DE VIDRO,N,S
ASTRÓLOGO(A),,9609-2/99,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS NÃO ESPECIFICADAS ANTERIORMENTE,S,N
AZULEJISTA,,05/04/4330,APLICAÇÃO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES,S,N
BALANCEADOR(A) DE PNEUS,,4520-0/04,SERVIÇOS DE ALINHAMENTO E BALANCEAMENTO DE VEÍCULOS AUTOMOTORES,S,N
BALEIRO(A),,04/01/4721,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",N,S
BANHISTA DE ANIMAIS DOMÉSTICOS,(Redação dada pela Resolução CGSN nº 117/2014),07/02/9609,HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMÉSTICOS,S,N
BARBEIRO ,(Redação dada pela Resolução CGSN nº 117/2014),01/05/9602,"CABELEIREIROS, MANICURE E PEDICURE",S,N
BARQUEIRO(A),,5099-8/99,OUTROS TRANSPORTES AQUAVIÁRIOS NÃO ESPECIFICADOS ANTERIORMENTE,S,S
BARRAQUEIRO(A),,4712-1/00,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",N,S
BENEFICIADOR(A) DE CASTANHA,,1031-7/00,FABRICANTE DE CONSERVAS DE FRUTAS,N,S
BIKE PROPAGANDISTA,,7319-0/99,OUTRAS ATIVIDADES DE PUBLICIDADE NÃO ESPECIFICADAS ANTERIORMENTE,S,N
BIKEBOY (CICLISTA MENSAGEIRO),,02/02/5320,SERVIÇOS DE ENTREGA RÁPIDA,S,N
BOLACHEIRO(A)/BISCOITEIRO(A),,1092-9/00,FABRICAÇÃO DE BISCOITOS E BOLACHAS,N,S
BOMBEIRO(A) HIDRÁULICO,,01/03/4322,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS",S,N
BONELEIRO(A) (FABRICANTE DE BONÉS),,1414-2/00,"FABRICAÇÃO DE ACESSÓRIOS DO VESTUÁRIO, EXCETO PARA SEGURANÇA E PROTEÇÃO",N,S
BORDADEIRO(A),,1340-5/99,"OUTROS SERVIÇOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TÊXTEIS E PEÇAS DO VESTUÁRIO",S,N
BORRACHEIRO(A),,4520-0/06,SERVIÇOS DE BORRACHARIA PARA VEÍCULOS AUTOMOTORES,S,N
BRITADOR,,01/05/2391,"BRITAMENTO DE PEDRAS, EXCETO ASSOCIADO À EXTRAÇÃO",N,S
CABELEIREIRO(A) ,(Redação dada pela Resolução CGSN nº 117/2014),01/05/9602,"CABELEIREIROS, MANICURE E PEDICURE",S,N
CALAFETADOR(A),,05/04/4330,APLICAÇÃO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES,S,N
CANTOR(A)/MÚSICO(A) INDEPENDENTE,,02/09/9001,PRODUÇÃO MUSICAL,S,N
CAPOTEIRO(A),,4520-0/08,SERVIÇOS DE CAPOTARIA,S,N
CARPINTEIRO(A),,1622-6/99,FABRICAÇÃO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUÇÃO,N,S
CARPINTEIRO(A) INSTALADOR(A),,02/04/4330,"INSTALAÇÃO DE PORTAS, JANELAS, TETOS, DIVISÓRIAS E ARMÁRIOS EMBUTIDOS DE QUALQUER MATERIAL",S,N
CARREGADOR (VEÍCULOS DE TRANSPORTES TERRESTRES),,5212-5/00,CARGA E DESCARGA,S,N
CARREGADOR DE MALAS,,9609-2/99,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS NÃO ESPECIFICADAS ANTERIORMENTE,S,N
CARROCEIRO - COLETA DE ENTULHOS E RESÍDUOS,,3811-4/00,COLETA DE RESÍDUOS NÃO-PERIGOSOS,S,N
CARROCEIRO - TRANSPORTE DE CARGA,,01/02/4930,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL",S,N
CARROCEIRO - TRANSPORTE DE MUDANÇA,,04/02/4930,TRANSPORTE RODOVIÁRIO DE MUDANÇAS,S,S
"CARTAZISTA, PINTOR DE FAIXAS PUBLICITÁRIAS E DE LETRAS",,8299-7/99,OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE,S,N
CHAPELEIRO(A),,1414-2/00,"FABRICAÇÃO DE ACESSÓRIOS DO VESTUÁRIO, EXCETO PARA SEGURANÇA E PROTEÇÃO",N,S
CHAVEIRO(A),,02/01/9529,CHAVEIROS,S,N
CHOCOLATEIRO(A),,01/07/1093,FABRICAÇÃO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,N,S
CHURRASQUEIRO(A) AMBULANTE,,5612-1/00,SERVIÇOS AMBULANTES DE ALIMENTAÇÃO,N,S
CHURRASQUEIRO(A) EM DOMICÍLIO,,02/01/5620,SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ,S,S
CLICHERISTA,,1821-1/00,SERVIÇOS DE PRÉ-IMPRESSÃO,S,N
COBRADOR(A) DE DÍVIDAS,,8291-1/00,ATIVIDADES DE COBRANÇAS E INFORMAÇÕES CADASTRAIS,S,N
COLCHOEIRO(A),,3104-7/00,FABRICAÇÃO DE COLCHÕES,N,S
COLETOR DE RESÍDUOS NÃO-PERIGOSOS,,3811-4/00,COLETA DE RESÍDUOS NÃO-PERIGOSOS,S,N
COLETOR DE RESÍDUOS PERIGOSOS,,3812-2/00,COLETA DE RESÍDUOS PERIGOSOS,S,N
COLOCADOR(A) DE PIERCING,,06/02/9609,SERVIÇOS DE TATUAGEM E COLOCAÇÃO DE PIERCING,S,N
COLOCADOR(A) DE REVESTIMENTOS,,05/04/4330,APLICAÇÃO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES,S,N
COMERCIANTE DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMAÇÃO,,4789-0/04,COMÉRCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMAÇÃO,N,S
COMERCIANTE DE ARTIGOS DE ARMARINHO,,02/05/4755,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,N,S
COMERCIANTE DE ARTIGOS DE BEBÊ,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
"COMERCIANTE DE ARTIGOS DE CAÇA, PESCA E CAMPING",,04/06/4763,"COMÉRCIO VAREJISTA DE ARTIGOS DE CAÇA, PESCA E CAMPING",N,S
"COMERCIANTE DE ARTIGOS DE CAMA, MESA E BANHO",,03/05/4755,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",N,S
COMERCIANTE DE ARTIGOS DE COLCHOARIA,,02/07/4754,COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOARIA,N,S
COMERCIANTE DE ARTIGOS DE CUTELARIA,,4759-8/99,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE ARTIGOS DE ILUMINAÇÃO,,03/07/4754,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO,N,S
COMERCIANTE DE ARTIGOS DE JOALHERIA,,01/01/4783,COMÉRCIO VAREJISTA DE ARTIGOS DE JOALHERIA,N,S
COMERCIANTE DE ARTIGOS DE ÓPTICA,,4774-1/00,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA,N,S
COMERCIANTE DE ARTIGOS DE RELOJOARIA,,02/01/4783,COMÉRCIO VAREJISTA DE ARTIGOS DE RELOJOARIA,N,S
"COMERCIANTE DE ARTIGOS DE TAPEÇARIA, CORTINAS E PERSIANAS",,01/08/4759,"COMÉRCIO VAREJISTA DE ARTIGOS DE TAPEÇARIA, CORTINAS E PERSIANAS",N,S
COMERCIANTE DE ARTIGOS DE VIAGEM,,02/02/4782,COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM,N,S
COMERCIANTE DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,,4781-4/00,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,N,S
COMERCIANTE DE ARTIGOS ERÓTICOS,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE ARTIGOS ESPORTIVOS,,02/06/4763,COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS,N,S
COMERCIANTE DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM,,4789-0/08,COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM,N,S
COMERCIANTE DE ARTIGOS FUNERÁRIOS,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE ARTIGOS MÉDICOS E ORTOPÉDICOS,,4773-3/00,COMÉRCIO VAREJISTA DE ARTIGOS MÉDICOS E ORTOPÉDICOS,N,S
COMERCIANTE DE ARTIGOS PARA HABITAÇÃO,,4759-8/99,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE ARTIGOS USADOS,,4785-7/99,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS USADOS,N,S
COMERCIANTE DE BEBIDAS,,4723-7/00,COMÉRCIO VAREJISTA DE BEBIDAS,N,S
COMERCIANTE DE BICICLETAS E TRICICLOS; PEÇAS E ACESSÓRIOS,,03/06/4763,COMÉRCIO VAREJISTA DE BICICLETAS E TRICICLOS; PEÇAS E ACESSÓRIOS,N,S
COMERCIANTE DE BRINQUEDOS E ARTIGOS RECREATIVOS,,01/06/4763,COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS,N,S
"COMERCIANTE DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS",,4744-0/04,"COMÉRCIO VAREJISTA DE CAL, AREIA, PEDRA BRITADA, TIJOLOS E TELHAS",N,S
COMERCIANTE DE CALÇADOS,,01/02/4782,COMÉRCIO VAREJISTA DE CALÇADOS,N,S
COMERCIANTE DE CARVÃO E LENHA,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE CESTAS DE CAFÉ DA MANHÃ,,4729-6/99,COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE COSMÉTICOS E ARTIGOS DE PERFUMARIA,,4772-5/00,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",N,S
"COMERCIANTE DE DISCOS, CDS, DVDS E FITAS",,4762-8/00,"COMÉRCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS",N,S
COMERCIANTE DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO,,4753-9/00,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO,N,S
COMERCIANTE DE EMBALAGENS,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO,,4752-1/00,COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO,N,S
COMERCIANTE DE EQUIPAMENTOS PARA ESCRITÓRIO,,4789-0/07,COMÉRCIO VAREJISTA DE EQUIPAMENTOS PARA ESCRITÓRIO,N,S
COMERCIANTE DE EXTINTORES DE INCÊNDIO,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE FERRAGENS E FERRAMENTAS,,4744-0/01,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,N,S
"COMERCIANTE DE FLORES, PLANTAS E FRUTAS ARTIFICIAIS",,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE FOGOS DE ARTIFÍCIO,,4789-0/06,COMÉRCIO VAREJISTA DE FOGOS DE ARTIFÍCIO E ARTIGOS PIROTÉCNICOS,N,S
COMERCIANTE DE GÁS LIQUEFEITO DE PETRÓLEO (GLP),,4784-9/00,COMÉRCIO VAREJISTA DE GÁS LIQUEFEITO DE PETRÓLEO (GLP),N,S
COMERCIANTE DE INSETICIDAS E RATICIDAS,,4789-0/05,COMÉRCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITÁRIOS,N,S
COMERCIANTE DE INSTRUMENTOS MUSICAIS E ACESSÓRIOS,,4756-3/00,COMÉRCIO VAREJISTA ESPECIALIZADO DE INSTRUMENTOS MUSICAIS E ACESSÓRIOS,N,S
COMERCIANTE DE LATICÍNIOS,,03/01/4721,COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS,N,S
COMERCIANTE DE LUBRIFICANTES,,4732-6/00,COMÉRCIO VAREJISTA DE LUBRIFICANTES,N,S
COMERCIANTE DE MADEIRA E ARTEFATOS,,4744-0/02,COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS,N,S
COMERCIANTE DE MATERIAIS DE CONSTRUÇÃO EM GERAL,,4744-0/99,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,N,S
COMERCIANTE DE MATERIAIS HIDRÁULICOS,,4744-0/03,COMÉRCIO VAREJISTA DE MATERIAIS HIDRÁULICOS,N,S
COMERCIANTE DE MATERIAL ELÉTRICO,,4742-3/00,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,N,S
COMERCIANTE DE MEDICAMENTOS VETERINÁRIOS,,04/07/4771,COMÉRCIO VAREJISTA DE MEDICAMENTOS VETERINÁRIOS,N,S
COMERCIANTE DE MIUDEZAS E QUINQUILHARIAS,,4713-0/02,"LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES",N,S
COMERCIANTE DE MOLDURAS E QUADROS,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE MÓVEIS,,01/07/4754,COMÉRCIO VAREJISTA DE MÓVEIS,N,S
COMERCIANTE DE OBJETOS DE ARTE,,4789-0/03,COMÉRCIO VAREJISTA DE OBJETOS DE ARTE,N,S
COMERCIANTE DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,,03/07/4530,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,N,S
COMERCIANTE DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO,,4757-1/00,"COMÉRCIO VAREJISTA ESPECIALIZADO DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO, EXCETO INFORMÁTICA E COMUNICAÇÃO",N,S
COMERCIANTE DE PEÇAS E ACESSÓRIOS PARA MOTOCICLETAS E MOTONETAS,,05/02/4541,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS PARA MOTOCICLETAS E MOTONETAS,N,S
COMERCIANTE DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES,,04/07/4530,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES,N,S
COMERCIANTE DE PERUCAS,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
"COMERCIANTE DE PLANTAS, FLORES NATURAIS, VASOS E ADUBOS",,4789-0/02,COMÉRCIO VAREJISTA DE PLANTAS E FLORES NATURAIS,N,S
COMERCIANTE DE PNEUMÁTICOS E CÂMARAS-DE-AR,,05/07/4530,COMÉRCIO A VAREJO DE PNEUMÁTICOS E CÂMARAS-DE-AR,N,S
COMERCIANTE DE PRODUTOS DE HIGIENE PESSOAL,,4772-5/00,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",N,S
COMERCIANTE DE PRODUTOS DE LIMPEZA,,4789-0/05,COMÉRCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITÁRIOS,N,S
COMERCIANTE DE PRODUTOS DE PANIFICAÇÃO,,02/01/4721,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA,N,S
COMERCIANTE DE PRODUTOS DE TABACARIA,,01/06/4729,TABACARIA,N,S
COMERCIANTE DE PRODUTOS FARMACÊUTICOS HOMEOPÁTICOS,,03/07/4771,COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS HOMEOPÁTICOS,N,S
"COMERCIANTE DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",,01/07/4771,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",N,S
COMERCIANTE DE PRODUTOS NATURAIS,,4729-6/99,COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE PRODUTOS PARA FESTAS E NATAL,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE PRODUTOS PARA PISCINAS,,4789-0/05,COMÉRCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITÁRIOS,N,S
COMERCIANTE DE PRODUTOS RELIGIOSOS,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE REDES PARA DORMIR,,4789-0/99,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE SISTEMA DE SEGURANÇA RESIDENCIAL,,4759-8/99,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE,N,S
"COMERCIANTE DE SUVENIRES, BIJUTERIAS E ARTESANATOS",,4789-0/01,"COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS",N,S
COMERCIANTE DE TECIDOS,,01/05/4755,COMÉRCIO VAREJISTA DE TECIDOS,N,S
COMERCIANTE DE TINTAS E MATERIAIS PARA PINTURA,,4741-5/00,COMÉRCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA,N,S
COMERCIANTE DE TOLDOS E PAPEL DE PAREDE,,4759-8/99,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE,N,S
COMERCIANTE DE VIDROS,,4743-1/00,COMÉRCIO VAREJISTA DE VIDROS,N,S
COMPOTEIRO(A),,1031-7/00,FABRICAÇÃO DE CONSERVAS DE FRUTAS,N,S
CONFECCIONADOR(A) DE CARIMBOS,,3299-0/02,"FABRICAÇÃO DE CANETAS, LÁPIS E OUTROS ARTIGOS PARA ESCRITÓRIO",N,S
CONFECCIONADOR(A) DE FRALDAS DESCARTÁVEIS,,01/07/1742,FABRICAÇÃO DE FRALDAS DESCARTÁVEIS,N,S
CONFEITEIRO(A),,02/01/1091,FABRICAÇÃO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE PRODUÇÃO PRÓPRIA.,,
CONTADOR(A)/TÉCNICO(A) CONTÁBIL,,01/06/6920,ATIVIDADES DE CONTABILIDADE,S,N
"COSTUREIRO(A) DE ROUPAS, EXCETO SOB MEDIDA",,01/06/1412,"CONFECÇÃO DE PEÇAS DE VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS E AS CONFECCIONADAS SOB MEDIDA",S,S
"COSTUREIRO(A) DE ROUPAS, SOB MEDIDA",,02/06/1412,"CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS",S,N
COVEIRO,,03/03/9603,SERVIÇOS DE SEPULTAMENTO,S,N
COZINHEIRO(A) QUE FORNECE REFEIÇÕES PRONTAS E EMBALADAS PARA CONSUMO,,04/01/5620,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR,N,S
